# 공정거래위원회 조직·인사 이력 기록
#
# 이 파일은 GitHub 웹사이트에서 직접 열어 수정할 수 있습니다.
# (연필 아이콘 "Edit this file" 클릭 → 내용 수정 → "Commit changes")
#
# 형식: 부서,직책,담당자,시작일,종료일,출처링크,확인상태
#   - 시작일/종료일은 YYYY-MM-DD 형식
#   - 종료일을 비워두면 "현재 재임 중"으로 표시됩니다
#   - 인사가 바뀌면: 기존 줄의 종료일을 채우고, 새 담당자를 새 줄로 추가하세요
#   - 출처링크/확인상태: 뉴스 기사에서 자동 감지되어 추가된 인사는 확인상태가
#     "자동감지"로 표시되고 출처링크(기사)가 채워집니다. 내용을 확인했으면
#     확인상태를 "확인됨"으로 바꿔주세요 (사람이 직접 넣은 기존 데이터는 처음부터
#     "확인됨"으로 표시됨). 대시보드에는 "자동감지" 항목에 "미확인" 표시가 붙습니다.
#
# 예시 (실제 데이터 아님 - 참고용):
# 서울지방공정거래사무소,건설하도급과 과장,(예시)홍길동,2024-03-01,2026-01-15
# 서울지방공정거래사무소,건설하도급과 과장,(예시)김철수,2026-01-16,
#
# 아래 데이터는 2026-05-27 기준 인원 편제 자료로 채운 것입니다.
# 시작일이 비어 있는 항목은 정확한 발령일을 몰라서 비워둔 것이며, 아는 부분만
# 채워도 됩니다. 이후 인사가 바뀌면 위 형식대로 종료일을 채우고 새 줄을 추가하세요.
부서,직책,담당자,시작일,종료일,출처링크,확인상태
경인사무소,가맹유통소비자과장,문경만,,,,확인됨
경인사무소,건설하도급과장,신재규,,,,확인됨
경인사무소,경인사무소장,황태호,,,,확인됨
경인사무소,민원신속대응팀장,변동영,,,,확인됨
경인사무소,제조하도급과장,김성수,,,,확인됨
경인사무소,총괄과장,하은광,,,,확인됨
광주사무소,경쟁과장,박종언,,,,확인됨
광주사무소,광주사무소장,김현철,,,,확인됨
광주사무소,소비자과장,김성봉,,,,확인됨
광주사무소,총괄과장,임수환,,,,확인됨
광주사무소,하도급과장,최현록,,,,확인됨
대구사무소,경쟁과장,윤영술,,,,확인됨
대구사무소,대구사무소장,남형우,,,,확인됨
대구사무소,소비자과장,송호열,,,,확인됨
대구사무소,총괄과장,백성하,,,,확인됨
대구사무소,하도급과장,장재혁,,,,확인됨
대전사무소,경쟁과장,최경원,,,,확인됨
대전사무소,대전사무소장,최병국,,,,확인됨
대전사무소,소비자과장,김혜정,,,,확인됨
대전사무소,총괄과장,박진호,,,,확인됨
대전사무소,하도급과장,송길용,,,,확인됨
부산사무소,경쟁과장,정문홍,,,,확인됨
부산사무소,부산사무소장,이상협,,,,확인됨
부산사무소,소비자과장,백성우,,,,확인됨
부산사무소,총괄과장,박재생,,,,확인됨
부산사무소,하도급과장,백성우,,,,확인됨
부위원장실,감사담당관,노태근,,,,확인됨
부위원장실,심판관리관,박세민,,,,확인됨
사무처,경쟁정책국장,선중규,,,,확인됨
사무처,기업협력정책관,정창욱,,,,확인됨
사무처,기획조정관,김문식,,,,확인됨
사무처,대변인,전성복,,,,확인됨
사무처,법률자문관,이혜현,,,,확인됨
사무처,사무처장,신동열,,,,확인됨
사무처,소비자정책국장,정보름,,,,확인됨
사무처,운영지원과장,신용희,,,,확인됨
서울사무소,가맹유통팀장,김세겸,,,,확인됨
서울사무소,건설하도급과장,김태우,,,,확인됨
서울사무소,경쟁과장,류용래,,,,확인됨
서울사무소,민원신속대응팀장,정운학,,,,확인됨
서울사무소,소비자과장,오갑수,,,,확인됨
서울사무소,전자거래팀장,이성태,,,,확인됨
서울사무소,제조하도급과장,장혜림,,,,확인됨
서울사무소,총괄과장,박정웅,,,,확인됨
위원장실,부위원장,남동일,,,,확인됨
위원장실,위원장,주병기,,,,확인됨
조사처,가맹거래조사과장,이득규,,,,확인됨
조사처,가맹유통심의관,오동욱,,,,확인됨
조사처,공시점검과장,문종숙,,,,확인됨
조사처,국제기업결합과장,신용호,,,,확인됨
조사처,국제카르텔조사과장,전상훈,,,,확인됨
조사처,기술유용조사과장,박정현,,,,확인됨
조사처,기업결합과장,김성한,,,,확인됨
조사처,기업집단감시국장,최장관,,,,확인됨
조사처,기업집단관리과장,음잔디,,,,확인됨
조사처,기업집단정보분석팀장,안석우,,,,확인됨
조사처,내부거래감시과장,정신기,,,,확인됨
조사처,대리점거래조사과장,조원식,,,,확인됨
조사처,부당지원감시과장,김재진,,,,확인됨
조사처,서비스업감시과장,이준헌,,,,확인됨
조사처,서비스카르텔조사과장,임선정,,,,확인됨
조사처,시장감시국장,정희은,,,,확인됨
조사처,신산업하도급조사과장,김동명,,,,확인됨
조사처,약관특수거래과장,곽고은,,,,확인됨
조사처,유통거래조사과장,김수주,,,,확인됨
조사처,입찰담합조사과장,배문성,,,,확인됨
조사처,전자거래감시과장,정현일,,,,확인됨
조사처,제조업감시과장,석동수,,,,확인됨
조사처,제조카르텔조사과장,이선미,,,,확인됨
조사처,조사관리관,문재호,,,,확인됨
조사처,지식산업감시과장,고영환,,,,확인됨
조사처,카르텔조사국장,오행록,,,,확인됨
조사처,표시광고감시팀장,이영희,,,,확인됨
조사처,하도급조사과장,이태휘,,,,확인됨
